longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.34,34.05,41.0,2099.0,472.0,1369.0,465.0,2.7409,167100.0,<1H OCEAN
-120.55,36.97,42.0,1766.0,344.0,1084.0,323.0,2.3295,74400.0,INLAND
-116.38,33.74,7.0,17579.0,3479.0,3581.0,1820.0,4.084,194500.0,INLAND
-118.46,34.23,16.0,6338.0,1768.0,4718.0,1632.0,3.0187,154600.0,<1H OCEAN
-121.22,37.96,31.0,1484.0,314.0,1163.0,336.0,2.625,72100.0,INLAND
-119.73,34.44,48.0,2114.0,390.0,973.0,367.0,4.8021,351100.0,NEAR OCEAN
-117.04,32.74,5.0,2878.0,785.0,1727.0,758.0,1.7179,132000.0,NEAR OCEAN
-117.46,34.09,8.0,4711.0,963.0,3310.0,988.0,3.5488,101600.0,INLAND
-119.77,36.78,36.0,3616.0,779.0,1994.0,786.0,2.5434,67300.0,INLAND
-121.92,37.34,35.0,357.0,120.0,377.0,99.0,3.0139,204200.0,<1H OCEAN
-119.82,36.32,18.0,942.0,193.0,424.0,174.0,2.0673,87500.0,INLAND
-118.3,33.82,25.0,2659.0,765.0,2629.0,726.0,2.6368,175900.0,<1H OCEAN
-118.38,33.85,28.0,4430.0,928.0,2131.0,885.0,4.9384,378100.0,<1H OCEAN
-122.44,37.72,48.0,2675.0,585.0,1773.0,540.0,3.9565,268500.0,NEAR BAY
-117.98,33.72,24.0,2826.0,547.0,1738.0,546.0,6.0494,240400.0,<1H OCEAN
-122.14,37.36,23.0,11294.0,1377.0,3840.0,1367.0,12.1387,500001.0,NEAR BAY
-122.23,37.76,52.0,1705.0,246.0,658.0,253.0,5.75,306300.0,NEAR BAY
-122.47,37.72,49.0,1690.0,307.0,770.0,294.0,4.5913,259700.0,NEAR OCEAN
-119.63,34.44,37.0,3188.0,442.0,984.0,376.0,9.4522,500001.0,<1H OCEAN
-116.5,33.98,5.0,4332.0,868.0,1420.0,567.0,4.0417,146400.0,INLAND
-124.13,40.8,31.0,2152.0,462.0,1259.0,420.0,2.2478,81100.0,NEAR OCEAN
-118.32,33.88,37.0,1402.0,254.0,722.0,251.0,6.4781,269000.0,<1H OCEAN
-120.51,40.41,36.0,36.0,8.0,4198.0,7.0,5.5179,67500.0,INLAND
-122.33,37.58,27.0,5144.0,1481.0,2518.0,1447.0,3.4836,287900.0,NEAR OCEAN
-122.01,37.56,6.0,3028.0,778.0,1531.0,736.0,4.4259,158000.0,NEAR BAY
-121.93,37.3,16.0,2111.0,485.0,1285.0,499.0,5.0477,292500.0,<1H OCEAN
-124.17,40.8,52.0,1606.0,419.0,891.0,367.0,1.585,75500.0,NEAR OCEAN
-122.51,37.89,27.0,2674.0,565.0,1233.0,547.0,3.4485,458300.0,NEAR BAY
-117.25,33.25,6.0,6160.0,993.0,2997.0,1029.0,4.6187,205000.0,<1H OCEAN
-122.06,37.63,23.0,1939.0,356.0,841.0,364.0,3.3611,169200.0,NEAR BAY
-121.98,38.32,45.0,19.0,5.0,7460.0,6.0,10.2264,137500.0,INLAND
-116.17,33.66,22.0,639.0,203.0,664.0,153.0,1.9306,47500.0,INLAND
-121.59,39.75,20.0,908.0,206.0,481.0,211.0,2.2,80800.0,INLAND
-121.63,38.04,25.0,2019.0,411.0,888.0,326.0,3.2619,183800.0,INLAND
-122.03,37.18,10.0,212.0,38.0,78.0,21.0,6.0622,390000.0,<1H OCEAN
-117.87,33.6,33.0,3120.0,602.0,1155.0,553.0,5.2949,500001.0,<1H OCEAN
-118.9,34.26,5.0,25187.0,3521.0,11956.0,3478.0,6.9712,321300.0,<1H OCEAN
-121.83,37.33,27.0,3127.0,610.0,3257.0,604.0,4.6333,173600.0,<1H OCEAN
